	sequence	url	index	user	method	output	parameter	id
249	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=4', 'http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=6']	http://192.168.56.105/administrator/	0		get	administration username password log warning javascript must enabled proper operation administrator backend go page		55
250	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=4', 'http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=6']	http://192.168.56.105/administrator/index.php	1	admin	post	error call member function format null system control panel global checkin clear cache clear expired cache user manage add new user group add new group access level add new access level field field group user note add user note user note category add new category mass mail user menu manage add new item main add new item user add new item content add new category add new category featured field field group medium component banner banner category client track category update messaging new private message multilingual association feed feed category postinstallation message redirects smart extension module plugins template style template language installed content language override help help official support forum official language forum documentation wiki extension translation resource community portal security centre developer resource stack exchange shop administrator edit account logout error error occurred call member function format null return control panel	(admin1,admin1Pass)	55
251	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=4', 'http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=6']	http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=4	2	admin	get	edit administration skip main content control panel system user menu content component extension help user edit toolbar main content begin save save save new save copy item version history version titlei alias content image link option fieldgroupspecial fieldgroupregistered publishing configure edit screen permission edit insert view format table tool format paragraph time new roman pt field image page break read pwords p classspstorybodyintroductionthe premier league championship closed start new english topflight seasonp		55
252	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=4', 'http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=6']	http://192.168.56.105/administrator/index.php?option=com_content&task=article.edit&id=6	3	admin	get	administration skip main content control panel system control panel global checkin clear cache clear expired cache user manage add new user group add new group access level add new access level field field group user note add user note user note category add new category mass mail user menu manage add new item main add new item user add new item content add new category add new category featured field field group medium component banner banner category client track category update messaging new private message multilingual association feed feed category postinstallation message redirects smart extension module plugins template style template language installed content language override help help official support forum official language forum documentation wiki extension translation resource community portal security centre developer resource stack exchange shop user administrator edit account logout toolbar main content begin new edit publish unpublish feature unfeature archive checkin batch trash option error checkout failed following error user checking match user item permitted use link directly access page category featured field field group tool clear sort table ordering ascending ordering descending status ascending status descending featured ascending featured descending title ascending title descending category ascending category descending access ascending access descending ascending descending language ascending language descending date ascending date descending date modified ascending date modified descending start publishing ascending start publishing descending finish publishing ascending finish publishing descending hit ascending hit descending id ascending id descending id descending select status trashed unpublished published archived select status uncategorised public guest registered special super user none super user select language english engb select language su registered special forsu select max level select max level status title access language date created hit id action archive trash alias thefivemostcreativecitiesintheworld category public action archive trash alias germanystinygeographicoddity category public action archive trash alias transferdonedealsintransferwindowinoctober category public action archive trash alias librapaypalfirsttodropoutoffacebookcryptocurrency category public ienglish engb action facebooks could misused archive trash facebooks could misused alias facebookslibracouldbemisusedsaystreasurychiefmnuchin category public ienglish engb action archive trash alias gettingstarted category uncategorised public super user batch process selected set language keep original language english engb keep original language set access level keep original access level public guest registered special super user keep original access level move copy selection please select category dont move copy uncategorised dont move copy want move item make copy copy move add keep original su registered special forsu keep original cancel process iii view visitor administrator message log		55
253	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php?option=com_languages']	http://192.168.56.105/administrator/	0		get	administration username password log warning javascript must enabled proper operation administrator backend go page		56
254	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php?option=com_languages']	http://192.168.56.105/administrator/index.php	1	admin	post	error call member function format null system control panel global checkin clear cache clear expired cache user manage add new user group add new group access level add new access level field field group user note add user note user note category add new category mass mail user menu manage add new item main add new item user add new item content add new category add new category featured field field group medium component banner banner category client track category update messaging new private message multilingual association feed feed category postinstallation message redirects smart extension module plugins template style template language installed content language override help help official support forum official language forum documentation wiki extension translation resource community portal security centre developer resource stack exchange shop administrator edit account logout error error occurred call member function format null return control panel	(admin1,admin1Pass)	56
255	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/index.php?option=com_languages']	http://192.168.56.105/administrator/index.php?option=com_languages	2	admin	get	language installed administration skip main content control panel system control panel global checkin clear cache clear expired cache user manage add new user group add new group access level add new access level field field group user note add user note user note category add new category mass mail user menu manage add new item main add new item user add new item content add new category add new category featured field field group medium component banner banner category client track category update messaging new private message multilingual association feed feed category postinstallation message redirects smart extension module plugins template style template language installed content language override help help official support forum official language forum documentation wiki extension translation resource community portal security centre developer resource stack exchange shop user administrator edit account logout language installed toolbar main content begin default install language option installed content language override administrator clear sort table language ascending language descending native title ascending native title descending language ascending language descending default ascending default descending version ascending version descending date ascending date descending ascending descending ascending descending id ascending id descending language ascending title native title language default version date id english engb english united kingdom engb project adminorg iii view visitor administrator message log		56
256	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/']	http://192.168.56.105/administrator/	0		get	administration username password log warning javascript must enabled proper operation administrator backend go page		57
257	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/']	http://192.168.56.105/administrator/index.php	1	admin	post	error call member function format null system control panel global checkin clear cache clear expired cache user manage add new user group add new group access level add new access level field field group user note add user note user note category add new category mass mail user menu manage add new item main add new item user add new item content add new category add new category featured field field group medium component banner banner category client track category update messaging new private message multilingual association feed feed category postinstallation message redirects smart extension module plugins template style template language installed content language override help help official support forum official language forum documentation wiki extension translation resource community portal security centre developer resource stack exchange shop administrator edit account logout error error occurred call member function format null return control panel	(admin1,admin1Pass)	57
258	['http://192.168.56.105/administrator/', 'http://192.168.56.105/administrator/index.php', 'http://192.168.56.105/administrator/']	http://192.168.56.105/administrator/	2	admin	get	error call member function format null system control panel global checkin clear cache clear expired cache user manage add new user group add new group access level add new access level field field group user note add user note user note category add new category mass mail user menu manage add new item main add new item user add new item content add new category add new category featured field field group medium component banner banner category client track category update messaging new private message multilingual association feed feed category postinstallation message redirects smart extension module plugins template style template language installed content language override help help official support forum official language forum documentation wiki extension translation resource community portal security centre developer resource stack exchange shop administrator edit account logout error error occurred call member function format null return control panel		57
259	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/your-profile', 'http://192.168.56.105/index.php']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		58
260	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/your-profile', 'http://192.168.56.105/index.php']	http://192.168.56.105/index.php	1	publisher1	post	uncategorised facebooks could misused user	(publisher1,publisher1Pass)	58
261	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/your-profile', 'http://192.168.56.105/index.php']	http://192.168.56.105/index.php/your-profile	2	publisher1	get	edit namei username optional password optional confirm password optional addressi confirm addressi basic optional use default codemirror none tinymce use default time zone optional use default abidjan accra addis ababa algiers asmara bamako bangui banjul bissau blantyre brazzaville bujumbura cairo casablanca ceuta conakry dakar dar e salaam djibouti douala el aaiun freetown gaborone harare johannesburg juba kampala khartoum kigali kinshasa lagos libreville lome luanda lubumbashi lusaka malabo maputo maseru mbabane mogadishu monrovia nairobi ndjamena niamey nouakchott ouagadougou portonovo sao tome tripoli tunis windhoek adak anchorage anguilla antigua araguaina argentinabuenos aire argentinacatamarca argentinacordoba argentinajujuy argentinala rioja argentinamendoza argentinario gallegos argentinasalta argentinasan juan argentinasan luis argentinatucuman argentinaushuaia aruba asuncion atikokan bahia bahia banderas barbados belem belize blancsablon boa vista bogota boise cambridge bay campo grande cancun caracas cayenne cayman chicago chihuahua costa rica creston cuiaba curacao danmarkshavn dawson dawson creek denver detroit dominica edmonton eirunepe el salvador fort nelson fortaleza glace bay godthab goose bay grand turk grenada guadeloupe guatemala guayaquil guyana halifax havana hermosillo indianaindianapolis indianaknox indianamarengo indianapetersburg indianatell indianavevay indianavincennes indianawinamac inuvik iqaluit jamaica juneau kentuckylouisville kentuckymonticello kralendijk la paz lima los angeles lower prince maceio managua manaus marigot martinique matamoros mazatlan menominee merida metlakatla mexico miquelon moncton monterrey montevideo montserrat nassau new york nipigon nome noronha north dakotabeulah north dakotacenter north dakotanew salem ojinaga panama pangnirtung paramaribo phoenix portauprince port spain porto velho puerto rico punta arena rainy river rankin inlet recife regina resolute rio branco santarem santiago santo domingo sao paulo scoresbysund sitka st barthelemy st john st kitts st lucia st thomas st vincent swift current tegucigalpa thule thunder bay tijuana toronto tortola vancouver whitehorse winnipeg yakutat yellowknife casey davis dumontdurville macquarie mawson mcmurdo palmer rothera syowa troll vostok longyearbyen aden almaty amman anadyr aqtau aqtobe ashgabat atyrau baghdad bahrain baku bangkok barnaul beirut bishkek brunei chita choibalsan colombo damascus dhaka dili dubai dushanbe famagusta gaza hebron ho chi minh hong kong hovd irkutsk jakarta jayapura jerusalem kabul kamchatka karachi kathmandu khandyga kolkata krasnoyarsk kuala lumpur kuching kuwait macau magadan makassar manila muscat nicosia novokuznetsk novosibirsk omsk oral phnom penh pontianak pyongyang qatar qostanay qyzylorda riyadh sakhalin samarkand seoul shanghai singapore srednekolymsk taipei tashkent tbilisi tehran thimphu tokyo tomsk ulaanbaatar urumqi ustnera vientiane vladivostok yakutsk yangon yekaterinburg yerevan azores bermuda canary cape verde faroe madeira reykjavik south georgia st helena stanley adelaide brisbane broken hill currie darwin eucla hobart lindeman lord howe melbourne perth sydney amsterdam andorra astrakhan athens belgrade berlin bratislava brussels bucharest budapest busingen chisinau copenhagen dublin gibraltar guernsey helsinki isle man istanbul jersey kaliningrad kiev kirov lisbon ljubljana london luxembourg madrid malta mariehamn minsk monaco moscow oslo paris podgorica prague riga rome samara san marino sarajevo saratov simferopol skopje sofia stockholm tallinn tirane ulyanovsk uzhgorod vaduz vatican vienna vilnius volgograd warsaw zagreb zaporozhye zurich antananarivo chagos christmas coco comoro kerguelen mahe maldives mauritius mayotte reunion apia auckland bougainville chatham chuuk easter efate enderbury fakaofo fiji funafuti galapagos gambier guadalcanal guam honolulu kiritimati kosrae kwajalein majuro marquesas midway nauru niue norfolk noumea pago pago palau pitcairn pohnpei port moresby rarotonga saipan tahiti tarawa tongatapu wake wallis use default frontend language optional use default english united kingdom use default cancel facebooks could misused user		58
262	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/your-profile', 'http://192.168.56.105/index.php']	http://192.168.56.105/index.php	3	publisher1	get	uncategorised facebooks could misused user		58
263	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		59
264	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php	1	publisher1	post	uncategorised facebooks could misused user	(publisher1,publisher1Pass)	59
265	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php/tags	2	publisher1	get	titlei display registered special facebooks could misused user		59
266	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php/tags/tagspecial	3	publisher1	get	special titlei display matching item found facebooks could misused user		59
267	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php/travel	4	publisher1	get	edit detail written category published fieldspecial give info larry bleiberg surrounded switzerland owned enclave bisingen hochrhein managed binational existence century switzerlandis national summer holidaymaker force flotilla raft canoe bob along rhine river sunbather lay grassy shore largely empty street occasional public bus rumble decorated festivity switzerlandis familiar red flag white cross itis perfect holiday scene except  nagging detail merrymaking marking anniversary switzerlandis confederation taking place spirit heart swiss ito make holiday itis attractivei explained roland gintert deputy mayor town bisingen hochrhein ithis something spirit heart swissi reason spot entirely surrounded switzerland make enclave exclave oddity trivia fan confounding everyone else german town bisingen hochrhein entirely surrounded switzerland credit dpa picture alliancealamy cartographically curious enclave territory section territory completely surrounded another entity prime example nation lesotho encircled south africa itis closely related exclave portion territory separated main another territory bisingen meet definition facebooks could misused user		59
268	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity	5	publisher1	get	edit detail written category published fieldspecial give info larry bleiberg surrounded switzerland owned enclave bisingen hochrhein managed binational existence century switzerlandis national summer holidaymaker force flotilla raft canoe bob along rhine river sunbather lay grassy shore largely empty street occasional public bus rumble decorated festivity switzerlandis familiar red flag white cross itis perfect holiday scene except  nagging detail merrymaking marking anniversary switzerlandis confederation taking place spirit heart swiss ito make holiday itis attractivei explained roland gintert deputy mayor town bisingen hochrhein ithis something spirit heart swissi reason spot entirely surrounded switzerland make enclave exclave oddity trivia fan confounding everyone else german town bisingen hochrhein entirely surrounded switzerland credit dpa picture alliancealamy cartographically curious enclave territory section territory completely surrounded another entity prime example nation lesotho encircled south africa itis closely related exclave portion territory separated main another territory bisingen meet definition facebooks could misused user		59
269	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel', 'http://192.168.56.105/index.php/travel/5-germanys-tiny-geographic-oddity', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php/travel	6	publisher1	get	edit detail written category published fieldspecial give info larry bleiberg surrounded switzerland owned enclave bisingen hochrhein managed binational existence century switzerlandis national summer holidaymaker force flotilla raft canoe bob along rhine river sunbather lay grassy shore largely empty street occasional public bus rumble decorated festivity switzerlandis familiar red flag white cross itis perfect holiday scene except  nagging detail merrymaking marking anniversary switzerlandis confederation taking place spirit heart swiss ito make holiday itis attractivei explained roland gintert deputy mayor town bisingen hochrhein ithis something spirit heart swissi reason spot entirely surrounded switzerland make enclave exclave oddity trivia fan confounding everyone else german town bisingen hochrhein entirely surrounded switzerland credit dpa picture alliancealamy cartographically curious enclave territory section territory completely surrounded another entity prime example nation lesotho encircled south africa itis closely related exclave portion territory separated main another territory bisingen meet definition facebooks could misused user		59
270	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		60
271	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial']	http://192.168.56.105/index.php	1	publisher1	post	uncategorised facebooks could misused user	(publisher1,publisher1Pass)	60
272	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial']	http://192.168.56.105/index.php/tags	2	publisher1	get	titlei display registered special facebooks could misused user		60
273	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial']	http://192.168.56.105/index.php/tags/tagspecial	3	publisher1	get	special titlei display matching item found facebooks could misused user		60
274	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial']	http://192.168.56.105/index.php/tags/tagspecial	4	publisher1	post	special titlei display matching item found facebooks could misused user		60
275	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial']	http://192.168.56.105/index.php/tags/tagspecial	5	publisher1	post	special titlei display matching item found facebooks could misused user		60
276	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/your-profile']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		61
277	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/your-profile']	http://192.168.56.105/index.php	1	publisher1	post	uncategorised facebooks could misused user	(publisher1,publisher1Pass)	61
278	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/your-profile']	http://192.168.56.105/index.php/tags	2	publisher1	get	titlei display registered special facebooks could misused user		61
279	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/your-profile']	http://192.168.56.105/index.php/tags/tagspecial	3	publisher1	get	special titlei display matching item found facebooks could misused user		61
280	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/your-profile']	http://192.168.56.105/index.php/tags/tagspecial	4	publisher1	post	special titlei display matching item found facebooks could misused user		61
281	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/your-profile']	http://192.168.56.105/index.php/your-profile	5	publisher1	get	edit namei username optional password optional confirm password optional addressi confirm addressi basic optional use default codemirror none tinymce use default time zone optional use default abidjan accra addis ababa algiers asmara bamako bangui banjul bissau blantyre brazzaville bujumbura cairo casablanca ceuta conakry dakar dar e salaam djibouti douala el aaiun freetown gaborone harare johannesburg juba kampala khartoum kigali kinshasa lagos libreville lome luanda lubumbashi lusaka malabo maputo maseru mbabane mogadishu monrovia nairobi ndjamena niamey nouakchott ouagadougou portonovo sao tome tripoli tunis windhoek adak anchorage anguilla antigua araguaina argentinabuenos aire argentinacatamarca argentinacordoba argentinajujuy argentinala rioja argentinamendoza argentinario gallegos argentinasalta argentinasan juan argentinasan luis argentinatucuman argentinaushuaia aruba asuncion atikokan bahia bahia banderas barbados belem belize blancsablon boa vista bogota boise cambridge bay campo grande cancun caracas cayenne cayman chicago chihuahua costa rica creston cuiaba curacao danmarkshavn dawson dawson creek denver detroit dominica edmonton eirunepe el salvador fort nelson fortaleza glace bay godthab goose bay grand turk grenada guadeloupe guatemala guayaquil guyana halifax havana hermosillo indianaindianapolis indianaknox indianamarengo indianapetersburg indianatell indianavevay indianavincennes indianawinamac inuvik iqaluit jamaica juneau kentuckylouisville kentuckymonticello kralendijk la paz lima los angeles lower prince maceio managua manaus marigot martinique matamoros mazatlan menominee merida metlakatla mexico miquelon moncton monterrey montevideo montserrat nassau new york nipigon nome noronha north dakotabeulah north dakotacenter north dakotanew salem ojinaga panama pangnirtung paramaribo phoenix portauprince port spain porto velho puerto rico punta arena rainy river rankin inlet recife regina resolute rio branco santarem santiago santo domingo sao paulo scoresbysund sitka st barthelemy st john st kitts st lucia st thomas st vincent swift current tegucigalpa thule thunder bay tijuana toronto tortola vancouver whitehorse winnipeg yakutat yellowknife casey davis dumontdurville macquarie mawson mcmurdo palmer rothera syowa troll vostok longyearbyen aden almaty amman anadyr aqtau aqtobe ashgabat atyrau baghdad bahrain baku bangkok barnaul beirut bishkek brunei chita choibalsan colombo damascus dhaka dili dubai dushanbe famagusta gaza hebron ho chi minh hong kong hovd irkutsk jakarta jayapura jerusalem kabul kamchatka karachi kathmandu khandyga kolkata krasnoyarsk kuala lumpur kuching kuwait macau magadan makassar manila muscat nicosia novokuznetsk novosibirsk omsk oral phnom penh pontianak pyongyang qatar qostanay qyzylorda riyadh sakhalin samarkand seoul shanghai singapore srednekolymsk taipei tashkent tbilisi tehran thimphu tokyo tomsk ulaanbaatar urumqi ustnera vientiane vladivostok yakutsk yangon yekaterinburg yerevan azores bermuda canary cape verde faroe madeira reykjavik south georgia st helena stanley adelaide brisbane broken hill currie darwin eucla hobart lindeman lord howe melbourne perth sydney amsterdam andorra astrakhan athens belgrade berlin bratislava brussels bucharest budapest busingen chisinau copenhagen dublin gibraltar guernsey helsinki isle man istanbul jersey kaliningrad kiev kirov lisbon ljubljana london luxembourg madrid malta mariehamn minsk monaco moscow oslo paris podgorica prague riga rome samara san marino sarajevo saratov simferopol skopje sofia stockholm tallinn tirane ulyanovsk uzhgorod vaduz vatican vienna vilnius volgograd warsaw zagreb zaporozhye zurich antananarivo chagos christmas coco comoro kerguelen mahe maldives mauritius mayotte reunion apia auckland bougainville chatham chuuk easter efate enderbury fakaofo fiji funafuti galapagos gambier guadalcanal guam honolulu kiritimati kosrae kwajalein majuro marquesas midway nauru niue norfolk noumea pago pago palau pitcairn pohnpei port moresby rarotonga saipan tahiti tarawa tongatapu wake wallis use default frontend language optional use default english united kingdom use default cancel facebooks could misused user		61
282	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		62
283	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php	1	publisher1	post	uncategorised facebooks could misused user	(publisher1,publisher1Pass)	62
284	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php/tags	2	publisher1	get	titlei display registered special facebooks could misused user		62
285	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php/tags/tagspecial	3	publisher1	get	special titlei display matching item found facebooks could misused user		62
286	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php/tags/tagspecial	4	publisher1	post	special titlei display matching item found facebooks could misused user		62
287	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/travel']	http://192.168.56.105/index.php/travel	5	publisher1	get	edit detail written category published fieldspecial give info larry bleiberg surrounded switzerland owned enclave bisingen hochrhein managed binational existence century switzerlandis national summer holidaymaker force flotilla raft canoe bob along rhine river sunbather lay grassy shore largely empty street occasional public bus rumble decorated festivity switzerlandis familiar red flag white cross itis perfect holiday scene except  nagging detail merrymaking marking anniversary switzerlandis confederation taking place spirit heart swiss ito make holiday itis attractivei explained roland gintert deputy mayor town bisingen hochrhein ithis something spirit heart swissi reason spot entirely surrounded switzerland make enclave exclave oddity trivia fan confounding everyone else german town bisingen hochrhein entirely surrounded switzerland credit dpa picture alliancealamy cartographically curious enclave territory section territory completely surrounded another entity prime example nation lesotho encircled south africa itis closely related exclave portion territory separated main another territory bisingen meet definition facebooks could misused user		62
288	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october']	http://192.168.56.105/	0		get	uncategorised facebooks could misused username password remember log forgot username forgot password		63
289	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october']	http://192.168.56.105/index.php	1	publisher1	post	uncategorised facebooks could misused user	(publisher1,publisher1Pass)	63
290	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october']	http://192.168.56.105/index.php/tags	2	publisher1	get	titlei display registered special facebooks could misused user		63
291	['http://192.168.56.105/', 'http://192.168.56.105/index.php', 'http://192.168.56.105/index.php/tags', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/tags/tagspecial', 'http://192.168.56.105/index.php/sport/4-transfer-news-done-deals-in-transfer-window-in-october']	http://192.168.56.105/index.php/tags/tagspecial	3	publisher1	get	special titlei display matching item found facebooks could misused user		63
